Season,EventName,Driver,LapNumber,TotalLaps,TyreLife,Compound,TrackStatus,StintID,LapTimeSeconds,FuelLoadKgEst,FuelCorrection,AirTemp,TrackTemp,ThermalDegProxy,MechWearProxy,LapFrac
2025,Abu Dhabi Grand Prix,ALB,1,58,1.0,SOFT,1,1,99.757,100.0,-3.0,26.67402597402597,31.06168831168831,0.8874768089053803,1.0025862068965516,0.017241379310344827
2025,Abu Dhabi Grand Prix,ALB,2,58,2.0,SOFT,1,1,91.71,98.3,-2.949,26.67402597402597,31.06168831168831,1.7749536178107606,2.010344827586207,0.034482758620689655
2025,Abu Dhabi Grand Prix,ALB,3,58,3.0,SOFT,1,1,90.224,96.6,-2.8979999999999997,26.67402597402597,31.06168831168831,2.6624304267161407,3.0232758620689655,0.05172413793103448
2025,Abu Dhabi Grand Prix,ALB,4,58,4.0,SOFT,1,1,90.874,94.9,-2.847,26.67402597402597,31.06168831168831,3.549907235621521,4.041379310344827,0.06896551724137931
2025,Abu Dhabi Grand Prix,ALB,5,58,5.0,SOFT,1,1,90.314,93.2,-2.796,26.67402597402597,31.06168831168831,4.437384044526901,5.064655172413794,0.08620689655172414
2025,Abu Dhabi Grand Prix,ALB,6,58,6.0,SOFT,1,1,90.223,91.5,-2.745,26.67402597402597,31.06168831168831,5.324860853432281,6.093103448275862,0.10344827586206896
2025,Abu Dhabi Grand Prix,ALB,7,58,7.0,SOFT,1,1,90.42,89.8,-2.694,26.67402597402597,31.06168831168831,6.212337662337662,7.126724137931034,0.1206896551724138
2025,Abu Dhabi Grand Prix,ALB,10,58,2.0,HARD,1,2,89.374,84.7,-2.541,26.67402597402597,31.06168831168831,1.7749536178107606,2.0517241379310347,0.1724137931034483
2025,Abu Dhabi Grand Prix,ALB,11,58,3.0,HARD,1,2,89.807,83.0,-2.4899999999999998,26.67402597402597,31.06168831168831,2.6624304267161407,3.0853448275862068,0.1896551724137931
2025,Abu Dhabi Grand Prix,ALB,12,58,4.0,HARD,1,2,89.46,81.3,-2.4389999999999996,26.67402597402597,31.06168831168831,3.549907235621521,4.124137931034483,0.20689655172413793
2025,Abu Dhabi Grand Prix,ALB,13,58,5.0,HARD,1,2,89.692,79.6,-2.388,26.67402597402597,31.06168831168831,4.437384044526901,5.168103448275863,0.22413793103448276
2025,Abu Dhabi Grand Prix,ALB,14,58,6.0,HARD,1,2,89.793,77.9,-2.337,26.67402597402597,31.06168831168831,5.324860853432281,6.2172413793103445,0.2413793103448276
2025,Abu Dhabi Grand Prix,ALB,15,58,7.0,HARD,1,2,89.819,76.2,-2.286,26.67402597402597,31.06168831168831,6.212337662337662,7.271551724137931,0.25862068965517243
2025,Abu Dhabi Grand Prix,ALB,16,58,8.0,HARD,1,2,89.907,74.5,-2.235,26.67402597402597,31.06168831168831,7.099814471243042,8.331034482758621,0.27586206896551724
2025,Abu Dhabi Grand Prix,ALB,17,58,9.0,HARD,1,2,90.133,72.8,-2.1839999999999997,26.67402597402597,31.06168831168831,7.987291280148423,9.395689655172413,0.29310344827586204
