Track,Driver,GridPosition,Stint,Compound,StintLength
Bahrain,ALB,13.0,1.0,SOFT,15.0
Bahrain,ALB,13.0,2.0,HARD,21.0
Bahrain,ALB,13.0,3.0,HARD,20.0
Bahrain,ALO,6.0,1.0,SOFT,15.0
Bahrain,ALO,6.0,2.0,HARD,26.0
Bahrain,ALO,6.0,3.0,HARD,16.0
Bahrain,BOT,16.0,1.0,SOFT,12.0
Bahrain,BOT,16.0,2.0,HARD,18.0
Bahrain,BOT,16.0,3.0,HARD,26.0
Bahrain,GAS,20.0,1.0,SOFT,12.0
Bahrain,GAS,20.0,2.0,HARD,19.0
Bahrain,GAS,20.0,3.0,HARD,12.0
Bahrain,GAS,20.0,4.0,SOFT,13.0
Bahrain,HAM,9.0,1.0,SOFT,12.0
Bahrain,HAM,9.0,2.0,HARD,21.0
Bahrain,HAM,9.0,3.0,HARD,24.0
Bahrain,HUL,10.0,1.0,SOFT,1.0
Bahrain,HUL,10.0,2.0,HARD,19.0
Bahrain,HUL,10.0,3.0,HARD,21.0
Bahrain,HUL,10.0,4.0,SOFT,15.0
Bahrain,LEC,2.0,1.0,SOFT,11.0
Bahrain,LEC,2.0,2.0,HARD,23.0
Bahrain,LEC,2.0,3.0,HARD,23.0
Bahrain,MAG,15.0,1.0,SOFT,11.0
Bahrain,MAG,15.0,2.0,HARD,21.0
Bahrain,MAG,15.0,3.0,HARD,24.0
Bahrain,NOR,7.0,1.0,SOFT,13.0
Bahrain,NOR,7.0,2.0,HARD,20.0
Bahrain,NOR,7.0,3.0,HARD,24.0
Bahrain,OCO,19.0,1.0,SOFT,10.0
Bahrain,OCO,19.0,2.0,HARD,20.0
Bahrain,OCO,19.0,3.0,HARD,26.0
Bahrain,PER,5.0,1.0,SOFT,12.0
Bahrain,PER,5.0,2.0,HARD,24.0
Bahrain,PER,5.0,3.0,SOFT,21.0
Bahrain,PIA,8.0,1.0,SOFT,12.0
Bahrain,PIA,8.0,2.0,HARD,22.0
Bahrain,PIA,8.0,3.0,HARD,23.0
Bahrain,RIC,14.0,1.0,SOFT,13.0
Bahrain,RIC,14.0,2.0,HARD,22.0
Bahrain,RIC,14.0,3.0,SOFT,21.0
Bahrain,RUS,3.0,1.0,SOFT,11.0
Bahrain,RUS,3.0,2.0,HARD,20.0
Bahrain,RUS,3.0,3.0,HARD,26.0
Bahrain,SAI,4.0,1.0,SOFT,14.0
Bahrain,SAI,4.0,2.0,HARD,21.0
Bahrain,SAI,4.0,3.0,HARD,22.0
Bahrain,SAR,18.0,1.0,SOFT,10.0
Bahrain,SAR,18.0,2.0,HARD,18.0
Bahrain,SAR,18.0,3.0,HARD,12.0
Bahrain,SAR,18.0,4.0,SOFT,15.0
Bahrain,STR,12.0,1.0,SOFT,9.0
Bahrain,STR,12.0,2.0,HARD,18.0
Bahrain,STR,12.0,3.0,HARD,30.0
Bahrain,TSU,11.0,1.0,SOFT,14.0
Bahrain,TSU,11.0,2.0,HARD,20.0
Bahrain,TSU,11.0,3.0,HARD,22.0
Bahrain,VER,1.0,1.0,SOFT,17.0
Bahrain,VER,1.0,2.0,HARD,20.0
Bahrain,VER,1.0,3.0,SOFT,20.0
Bahrain,ZHO,17.0,1.0,SOFT,9.0
Bahrain,ZHO,17.0,2.0,HARD,19.0
Bahrain,ZHO,17.0,3.0,HARD,28.0
Saudi Arabia,ALB,12.0,1.0,MEDIUM,7.0
Saudi Arabia,ALB,12.0,2.0,HARD,43.0
Saudi Arabia,ALO,4.0,1.0,MEDIUM,7.0
Saudi Arabia,ALO,4.0,2.0,HARD,43.0
Saudi Arabia,BEA,11.0,1.0,SOFT,7.0
Saudi Arabia,BEA,11.0,2.0,HARD,43.0
Saudi Arabia,BOT,16.0,1.0,SOFT,7.0
Saudi Arabia,BOT,16.0,2.0,HARD,28.0
Saudi Arabia,BOT,16.0,3.0,SOFT,14.0
Saudi Arabia,GAS,18.0,1.0,MEDIUM,1.0
Saudi Arabia,HAM,8.0,1.0,MEDIUM,36.0
Saudi Arabia,HAM,8.0,2.0,SOFT,14.0
Saudi Arabia,HUL,15.0,1.0,MEDIUM,33.0
Saudi Arabia,HUL,15.0,2.0,HARD,17.0
Saudi Arabia,LEC,2.0,1.0,MEDIUM,7.0
Saudi Arabia,LEC,2.0,2.0,HARD,43.0
Saudi Arabia,MAG,13.0,1.0,MEDIUM,7.0
Saudi Arabia,MAG,13.0,2.0,HARD,43.0
Saudi Arabia,NOR,6.0,1.0,MEDIUM,37.0
Saudi Arabia,NOR,6.0,2.0,SOFT,13.0
Saudi Arabia,OCO,17.0,1.0,MEDIUM,7.0
Saudi Arabia,OCO,17.0,2.0,HARD,42.0
Saudi Arabia,PER,3.0,1.0,MEDIUM,7.0
Saudi Arabia,PER,3.0,2.0,HARD,43.0
Saudi Arabia,PIA,5.0,1.0,MEDIUM,7.0
Saudi Arabia,PIA,5.0,2.0,HARD,43.0
Saudi Arabia,RIC,14.0,1.0,MEDIUM,7.0
Saudi Arabia,RIC,14.0,2.0,HARD,42.0
Saudi Arabia,RUS,7.0,1.0,MEDIUM,7.0
Saudi Arabia,RUS,7.0,2.0,HARD,43.0
Saudi Arabia,SAR,19.0,1.0,MEDIUM,7.0
Saudi Arabia,SAR,19.0,2.0,HARD,42.0
Saudi Arabia,STR,10.0,1.0,MEDIUM,6.0
Saudi Arabia,TSU,9.0,1.0,MEDIUM,7.0
Saudi Arabia,TSU,9.0,2.0,HARD,42.0
Saudi Arabia,VER,1.0,1.0,MEDIUM,7.0
Saudi Arabia,VER,1.0,2.0,HARD,43.0
Saudi Arabia,ZHO,20.0,1.0,MEDIUM,41.0
Saudi Arabia,ZHO,20.0,2.0,SOFT,8.0
Chinese,ALB,14.0,1.0,MEDIUM,9.0
Chinese,ALB,14.0,2.0,MEDIUM,14.0
Chinese,ALB,14.0,3.0,HARD,33.0
Chinese,ALO,3.0,1.0,MEDIUM,11.0
Chinese,ALO,3.0,2.0,HARD,12.0
Chinese,ALO,3.0,3.0,SOFT,20.0
Chinese,ALO,3.0,4.0,MEDIUM,13.0
Chinese,BOT,10.0,1.0,MEDIUM,9.0
Chinese,BOT,10.0,2.0,HARD,11.0
Chinese,GAS,15.0,1.0,MEDIUM,11.0
Chinese,GAS,15.0,2.0,HARD,12.0
Chinese,GAS,15.0,3.0,HARD,15.0
Chinese,GAS,15.0,4.0,MEDIUM,18.0
Chinese,HAM,18.0,1.0,SOFT,9.0
Chinese,HAM,18.0,2.0,MEDIUM,12.0
Chinese,HAM,18.0,3.0,HARD,35.0
Chinese,HUL,9.0,1.0,MEDIUM,8.0
Chinese,HUL,9.0,2.0,HARD,15.0
Chinese,HUL,9.0,3.0,HARD,33.0
Chinese,LEC,6.0,1.0,MEDIUM,21.0
Chinese,LEC,6.0,2.0,HARD,35.0
Chinese,MAG,17.0,1.0,HARD,17.0
Chinese,MAG,17.0,2.0,HARD,10.0
Chinese,MAG,17.0,3.0,MEDIUM,29.0
Chinese,NOR,4.0,1.0,MEDIUM,22.0
Chinese,NOR,4.0,2.0,HARD,34.0
Chinese,OCO,13.0,1.0,MEDIUM,9.0
Chinese,OCO,13.0,2.0,HARD,14.0
Chinese,OCO,13.0,3.0,HARD,33.0
Chinese,PER,2.0,1.0,MEDIUM,13.0
Chinese,PER,2.0,2.0,HARD,10.0
Chinese,PER,2.0,3.0,HARD,33.0
Chinese,PIA,5.0,1.0,MEDIUM,16.0
Chinese,PIA,5.0,2.0,MEDIUM,8.0
Chinese,PIA,5.0,3.0,HARD,32.0
Chinese,RIC,12.0,1.0,MEDIUM,14.0
Chinese,RIC,12.0,2.0,MEDIUM,19.0
Chinese,RUS,8.0,1.0,MEDIUM,11.0
Chinese,RUS,8.0,2.0,MEDIUM,12.0
Chinese,RUS,8.0,3.0,HARD,33.0
Chinese,SAI,7.0,1.0,MEDIUM,17.0
Chinese,SAI,7.0,2.0,HARD,39.0
Chinese,SAR,20.0,1.0,SOFT,12.0
Chinese,SAR,20.0,2.0,MEDIUM,12.0
Chinese,SAR,20.0,3.0,HARD,32.0
Chinese,STR,11.0,1.0,SOFT,9.0
Chinese,STR,11.0,2.0,MEDIUM,12.0
Chinese,STR,11.0,3.0,HARD,5.0
Chinese,STR,11.0,4.0,MEDIUM,9.0
Chinese,STR,11.0,5.0,HARD,21.0
Chinese,TSU,19.0,1.0,SOFT,8.0
Chinese,TSU,19.0,2.0,MEDIUM,15.0
Chinese,TSU,19.0,3.0,HARD,4.0
Chinese,VER,1.0,1.0,MEDIUM,13.0
Chinese,VER,1.0,2.0,HARD,10.0
Chinese,VER,1.0,3.0,HARD,33.0
Chinese,ZHO,16.0,1.0,MEDIUM,8.0
Chinese,ZHO,16.0,2.0,HARD,15.0
Chinese,ZHO,16.0,3.0,HARD,17.0
Chinese,ZHO,16.0,4.0,SOFT,16.0
Japanese,ALB,14.0,1.0,SOFT,1.0
Japanese,ALO,5.0,1.0,SOFT,1.0
Japanese,ALO,5.0,2.0,SOFT,12.0
Japanese,ALO,5.0,3.0,MEDIUM,20.0
Japanese,ALO,5.0,4.0,HARD,20.0
Japanese,BOT,13.0,1.0,SOFT,1.0
Japanese,BOT,13.0,2.0,SOFT,5.0
Japanese,BOT,13.0,3.0,HARD,16.0
Japanese,BOT,13.0,4.0,HARD,30.0
Japanese,GAS,17.0,1.0,SOFT,1.0
Japanese,GAS,17.0,2.0,HARD,15.0
Japanese,GAS,17.0,3.0,MEDIUM,16.0
Japanese,GAS,17.0,4.0,HARD,20.0
Japanese,HAM,7.0,1.0,MEDIUM,1.0
Japanese,HAM,7.0,2.0,HARD,22.0
Japanese,HAM,7.0,3.0,HARD,16.0
Japanese,HAM,7.0,4.0,MEDIUM,14.0
Japanese,HUL,12.0,1.0,SOFT,1.0
Japanese,HUL,12.0,2.0,SOFT,4.0
Japanese,HUL,12.0,3.0,HARD,28.0
Japanese,HUL,12.0,4.0,HARD,19.0
Japanese,LEC,8.0,1.0,MEDIUM,1.0
Japanese,LEC,8.0,2.0,MEDIUM,25.0
Japanese,LEC,8.0,3.0,HARD,27.0
Japanese,MAG,18.0,1.0,MEDIUM,1.0
Japanese,MAG,18.0,2.0,MEDIUM,21.0
Japanese,MAG,18.0,3.0,HARD,30.0
Japanese,NOR,3.0,1.0,MEDIUM,1.0
Japanese,NOR,3.0,2.0,MEDIUM,10.0
Japanese,NOR,3.0,3.0,HARD,15.0
Japanese,NOR,3.0,4.0,HARD,27.0
Japanese,OCO,15.0,1.0,SOFT,1.0
Japanese,OCO,15.0,2.0,HARD,18.0
Japanese,OCO,15.0,3.0,HARD,14.0
Japanese,OCO,15.0,4.0,MEDIUM,19.0
Japanese,PER,2.0,1.0,MEDIUM,1.0
Japanese,PER,2.0,2.0,MEDIUM,14.0
Japanese,PER,2.0,3.0,MEDIUM,18.0
Japanese,PER,2.0,4.0,HARD,20.0
Japanese,PIA,6.0,1.0,MEDIUM,1.0
Japanese,PIA,6.0,2.0,MEDIUM,11.0
Japanese,PIA,6.0,3.0,HARD,20.0
Japanese,PIA,6.0,4.0,HARD,21.0
Japanese,RIC,11.0,1.0,MEDIUM,1.0
Japanese,RUS,9.0,1.0,MEDIUM,1.0
Japanese,RUS,9.0,2.0,HARD,21.0
Japanese,RUS,9.0,3.0,HARD,15.0
Japanese,RUS,9.0,4.0,MEDIUM,16.0
Japanese,SAI,4.0,1.0,MEDIUM,1.0
Japanese,SAI,4.0,2.0,MEDIUM,14.0
Japanese,SAI,4.0,3.0,MEDIUM,21.0
Japanese,SAI,4.0,4.0,HARD,17.0
Japanese,SAR,19.0,1.0,SOFT,1.0
Japanese,SAR,19.0,2.0,HARD,21.0
Japanese,SAR,19.0,3.0,HARD,12.0
Japanese,SAR,19.0,4.0,MEDIUM,7.0
Japanese,SAR,19.0,5.0,SOFT,11.0
Japanese,STR,16.0,1.0,SOFT,1.0
Japanese,STR,16.0,2.0,SOFT,11.0
Japanese,STR,16.0,3.0,MEDIUM,10.0
Japanese,STR,16.0,4.0,HARD,12.0
Japanese,STR,16.0,5.0,SOFT,18.0
Japanese,TSU,10.0,1.0,MEDIUM,1.0
Japanese,TSU,10.0,2.0,SOFT,6.0
Japanese,TSU,10.0,3.0,HARD,15.0
Japanese,TSU,10.0,4.0,HARD,30.0
Japanese,VER,1.0,1.0,MEDIUM,1.0
Japanese,VER,1.0,2.0,MEDIUM,15.0
Japanese,VER,1.0,3.0,MEDIUM,18.0
Japanese,VER,1.0,4.0,HARD,19.0
Japanese,ZHO,20.0,1.0,MEDIUM,1.0
Japanese,ZHO,20.0,2.0,SOFT,6.0
Japanese,ZHO,20.0,3.0,HARD,4.0
Japanese,ZHO,20.0,4.0,HARD,1.0
Miami,ALB,14.0,1.0,MEDIUM,10.0
Miami,ALB,14.0,2.0,HARD,43.0
Miami,ALB,14.0,3.0,SOFT,4.0
Miami,ALO,15.0,1.0,HARD,22.0
Miami,ALO,15.0,2.0,MEDIUM,35.0
Miami,BOT,16.0,1.0,SOFT,11.0
Miami,BOT,16.0,2.0,HARD,18.0
Miami,BOT,16.0,3.0,MEDIUM,28.0
Miami,GAS,12.0,1.0,MEDIUM,12.0
Miami,GAS,12.0,2.0,HARD,45.0
Miami,HAM,8.0,1.0,HARD,26.0
Miami,HAM,8.0,2.0,MEDIUM,31.0
Miami,HUL,9.0,1.0,MEDIUM,12.0
Miami,HUL,9.0,2.0,HARD,16.0
Miami,HUL,9.0,3.0,MEDIUM,29.0
Miami,LEC,2.0,1.0,MEDIUM,19.0
Miami,LEC,2.0,2.0,HARD,38.0
Miami,MAG,18.0,1.0,HARD,22.0
Miami,MAG,18.0,2.0,MEDIUM,6.0
Miami,MAG,18.0,3.0,MEDIUM,3.0
Miami,MAG,18.0,4.0,MEDIUM,26.0
Miami,NOR,5.0,1.0,MEDIUM,29.0
Miami,NOR,5.0,2.0,HARD,28.0
Miami,OCO,13.0,1.0,MEDIUM,22.0
Miami,OCO,13.0,2.0,HARD,35.0
Miami,PER,4.0,1.0,MEDIUM,17.0
Miami,PER,4.0,2.0,HARD,11.0
Miami,PER,4.0,3.0,MEDIUM,29.0
Miami,PIA,6.0,1.0,MEDIUM,27.0
Miami,PIA,6.0,2.0,HARD,13.0
Miami,PIA,6.0,3.0,MEDIUM,17.0
Miami,RIC,20.0,1.0,HARD,28.0
Miami,RIC,20.0,2.0,MEDIUM,29.0
Miami,RUS,7.0,1.0,MEDIUM,24.0
Miami,RUS,7.0,2.0,HARD,33.0
Miami,SAI,3.0,1.0,MEDIUM,27.0
Miami,SAI,3.0,2.0,HARD,30.0
Miami,SAR,17.0,1.0,MEDIUM,11.0
Miami,SAR,17.0,2.0,HARD,17.0
Miami,STR,11.0,1.0,MEDIUM,11.0
