Track,Driver,Team,GridPosition,Stint,Compound,StintLength,PitLap,AvgAirTemp,AvgTrackTemp
Bahrain,VER,Red Bull Racing,1.0,1,SOFT,17,,18.22738853503185,23.652866242038222
Bahrain,VER,Red Bull Racing,1.0,2,HARD,20,18.0,18.22738853503185,23.652866242038222
Bahrain,VER,Red Bull Racing,1.0,3,SOFT,20,38.0,18.22738853503185,23.652866242038222
Bahrain,PER,Red Bull Racing,5.0,1,SOFT,12,,18.22738853503185,23.652866242038222
Bahrain,PER,Red Bull Racing,5.0,2,HARD,24,13.0,18.22738853503185,23.652866242038222
Bahrain,PER,Red Bull Racing,5.0,3,SOFT,21,37.0,18.22738853503185,23.652866242038222
Bahrain,SAI,Ferrari,4.0,1,SOFT,14,,18.22738853503185,23.652866242038222
Bahrain,SAI,Ferrari,4.0,2,HARD,43,15.0,18.22738853503185,23.652866242038222
Bahrain,LEC,Ferrari,2.0,1,SOFT,11,,18.22738853503185,23.652866242038222
Bahrain,LEC,Ferrari,2.0,2,HARD,46,12.0,18.22738853503185,23.652866242038222
Bahrain,RUS,Mercedes,3.0,1,SOFT,11,,18.22738853503185,23.652866242038222
Bahrain,RUS,Mercedes,3.0,2,HARD,46,12.0,18.22738853503185,23.652866242038222
Bahrain,NOR,McLaren,7.0,1,SOFT,13,,18.22738853503185,23.652866242038222
Bahrain,NOR,McLaren,7.0,2,HARD,44,14.0,18.22738853503185,23.652866242038222
Bahrain,HAM,Mercedes,9.0,1,SOFT,12,,18.22738853503185,23.652866242038222
Bahrain,HAM,Mercedes,9.0,2,HARD,45,13.0,18.22738853503185,23.652866242038222
Bahrain,PIA,McLaren,8.0,1,SOFT,12,,18.22738853503185,23.652866242038222
Bahrain,PIA,McLaren,8.0,2,HARD,45,13.0,18.22738853503185,23.652866242038222
Bahrain,ALO,Aston Martin,6.0,1,SOFT,15,,18.22738853503185,23.652866242038222
Bahrain,ALO,Aston Martin,6.0,2,HARD,42,16.0,18.22738853503185,23.652866242038222
Bahrain,STR,Aston Martin,12.0,1,SOFT,9,,18.22738853503185,23.652866242038222
Bahrain,STR,Aston Martin,12.0,2,HARD,48,10.0,18.22738853503185,23.652866242038222
Bahrain,ZHO,Kick Sauber,17.0,1,SOFT,9,,18.22738853503185,23.652866242038222
Bahrain,ZHO,Kick Sauber,17.0,2,HARD,47,10.0,18.22738853503185,23.652866242038222
Bahrain,MAG,Haas F1 Team,15.0,1,SOFT,11,,18.22738853503185,23.652866242038222
Bahrain,MAG,Haas F1 Team,15.0,2,HARD,45,12.0,18.22738853503185,23.652866242038222
Bahrain,RIC,RB,14.0,1,SOFT,13,,18.22738853503185,23.652866242038222
Bahrain,RIC,RB,14.0,2,HARD,22,14.0,18.22738853503185,23.652866242038222
Bahrain,RIC,RB,14.0,3,SOFT,21,36.0,18.22738853503185,23.652866242038222
Bahrain,TSU,RB,11.0,1,SOFT,14,,18.22738853503185,23.652866242038222
Bahrain,TSU,RB,11.0,2,HARD,42,15.0,18.22738853503185,23.652866242038222
Bahrain,ALB,Williams,13.0,1,SOFT,15,,18.22738853503185,23.652866242038222
Bahrain,ALB,Williams,13.0,2,HARD,41,16.0,18.22738853503185,23.652866242038222
Bahrain,HUL,Haas F1 Team,10.0,1,SOFT,1,,18.22738853503185,23.652866242038222
Bahrain,HUL,Haas F1 Team,10.0,2,HARD,40,2.0,18.22738853503185,23.652866242038222
Bahrain,HUL,Haas F1 Team,10.0,3,SOFT,15,42.0,18.22738853503185,23.652866242038222
Bahrain,OCO,Alpine,19.0,1,SOFT,10,,18.22738853503185,23.652866242038222
Bahrain,OCO,Alpine,19.0,2,HARD,46,11.0,18.22738853503185,23.652866242038222
Bahrain,GAS,Alpine,20.0,1,SOFT,12,,18.22738853503185,23.652866242038222
Bahrain,GAS,Alpine,20.0,2,HARD,31,13.0,18.22738853503185,23.652866242038222
Bahrain,GAS,Alpine,20.0,3,SOFT,13,44.0,18.22738853503185,23.652866242038222
Bahrain,BOT,Kick Sauber,16.0,1,SOFT,12,,18.22738853503185,23.652866242038222
Bahrain,BOT,Kick Sauber,16.0,2,HARD,44,13.0,18.22738853503185,23.652866242038222
Bahrain,SAR,Williams,18.0,1,SOFT,10,,18.22738853503185,23.652866242038222
Bahrain,SAR,Williams,18.0,2,HARD,30,11.0,18.22738853503185,23.652866242038222
Bahrain,SAR,Williams,18.0,3,SOFT,15,41.0,18.22738853503185,23.652866242038222
Saudi Arabia,VER,Red Bull Racing,1.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,VER,Red Bull Racing,1.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,GAS,Alpine,18.0,1,MEDIUM,1,,25.528082191780825,31.59315068493151
Saudi Arabia,PER,Red Bull Racing,3.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,PER,Red Bull Racing,3.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,ALO,Aston Martin,4.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,ALO,Aston Martin,4.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,LEC,Ferrari,2.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,LEC,Ferrari,2.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,STR,Aston Martin,10.0,1,MEDIUM,6,,25.528082191780825,31.59315068493151
Saudi Arabia,SAR,Williams,19.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,SAR,Williams,19.0,2,HARD,42,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,MAG,Haas F1 Team,13.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,MAG,Haas F1 Team,13.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,TSU,RB,9.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,TSU,RB,9.0,2,HARD,42,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,ALB,Williams,12.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,ALB,Williams,12.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,ZHO,Kick Sauber,20.0,1,MEDIUM,41,,25.528082191780825,31.59315068493151
Saudi Arabia,ZHO,Kick Sauber,20.0,2,SOFT,8,42.0,25.528082191780825,31.59315068493151
Saudi Arabia,HUL,Haas F1 Team,15.0,1,MEDIUM,33,,25.528082191780825,31.59315068493151
Saudi Arabia,HUL,Haas F1 Team,15.0,2,HARD,17,34.0,25.528082191780825,31.59315068493151
Saudi Arabia,RIC,RB,14.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,RIC,RB,14.0,2,HARD,42,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,OCO,Alpine,17.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,OCO,Alpine,17.0,2,HARD,42,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,BEA,Ferrari,11.0,1,SOFT,7,,25.528082191780825,31.59315068493151
Saudi Arabia,BEA,Ferrari,11.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,NOR,McLaren,6.0,1,MEDIUM,37,,25.528082191780825,31.59315068493151
Saudi Arabia,NOR,McLaren,6.0,2,SOFT,13,38.0,25.528082191780825,31.59315068493151
Saudi Arabia,HAM,Mercedes,8.0,1,MEDIUM,36,,25.528082191780825,31.59315068493151
Saudi Arabia,HAM,Mercedes,8.0,2,SOFT,14,37.0,25.528082191780825,31.59315068493151
Saudi Arabia,RUS,Mercedes,7.0,1,MEDIUM,7,,25.528082191780825,31.59315068493151
Saudi Arabia,RUS,Mercedes,7.0,2,HARD,43,8.0,25.528082191780825,31.59315068493151
Saudi Arabia,BOT,Kick Sauber,16.0,1,SOFT,7,,25.528082191780825,31.59315068493151
